Date,Rating,Job Title,Summary,ProComments,ConComments,Status,Location,Advice to Mgmt,City,State
12/6/15,3,Anonymous Employee,"""Insurance Agent""","Great Training for Insurance Licensing Exam! After you receive your license, you get several weeks of through ""on the job training"" before you actually start taking calls.Excellent Benefits....Health Insurance starts Day One!","Very Very Micromanaged! Calls recorded and Lord forgive if you miss or say one thing wrong as you Will be called out on it! Very little choice of your schedule. Long days of taking back to back calls.They boast about bonuses, there are so many metrics, and generally have to work overtime to get the sales required to get it. Easy ""Burn Out"" After a couple of years.",Former Employee ,"Virginia Beach, VA",Need more Mature Supervisors.,Virginia Beach, VA
12/9/15,3,Anonymous Employee,"""Customer service Agent""",Decent pay with a lot of support from leadership,bad hours and the expectations were ridiculous at times.,Former Employee ,"San Diego, CA",,San Diego, CA
12/8/15,3,Anonymous Employee,"""Bodily injury adjuster""",Fun team to work with.,Overwhelming work place for the associates.,Current Employee ,"Renton, WA",Be more involve in the work place,Renton, WA
11/23/15,4,Ta1,"""Great work environment without politics.""","Great training, positive environment, free licensing, fast pace work environment. Supervisors are very helpful. Very interesting job you never get bored of the descriptions of accidents. If you like investigating this job is fun.",Somewhat stressful meeting deadlines and stats. Work load never ends. Short staffed due to people leaving to the competition and you get more work.,Current Employee ,"Dallas, TX",Get competitive with market pay rates,Dallas, TX
11/22/15,4,Management,"""GEICO employment""",A ton of promotional opportunities,It can be a stressful job and difficult at times,Current Employee ,"Los Angeles, CA",,Los Angeles, CA
11/29/15,3,Anonymous Employee,"""AD Adjuster""","Benefits, pay are among the best reasons to work at Geico. The employees are great people to work with and I enjoy them.",Very tough to get a high score on your annual review and you can get written up or put on warning if just one area of your performance is below the minimum allowable area.,Current Employee ,"Atlanta, GA",Stop the ultra micro management and realize people are human and do make mistakes.,Atlanta, GA
12/2/15,3,Senior Applications Systems Analyst,"""Good but could be better""",Good stability. Good strong company. Good philanthropic contributions. Good co-workers.,Change is slow coming. Work/Life balance is not the best. Salaries are not the most competitive.,Current Employee ,"Chevy Chase, MD",Allow more flexibility in regular hour scheduling and work from home options.,Chevy Chase, MD
11/17/15,4,Programmer Analyst,""".good company, so-so management""",Great benefits and job security.,level of enjoyment with the job is entirely dependent on management.,Current Employee ,"Chevy Chase, MD",Trust your employees to do the job they were hired to do - they're subject matter experts and you are not!,Chevy Chase, MD
11/29/15,3,Anonymous Employee,"""Not a Bad Company""","It is not a bad company. Just like any corporate there are pits, challenges and obviously rewards. At times, I felt you needed a god father to move forward. Some amazing people to work with though. Benefits were really nice as well.",I felt there were road blocks that weren't needed to begin with.,Former Employee ,,,,
11/16/15,5,Anonymous Employee,"""Great place to kick off your career!""",Want to make a difference? Come to GEICO! Highly recommend if you are looking for work life balance and a place not just to work but build your career.,fortunate not to have any cons!,Current Employee ,"Chevy Chase, MD",,Chevy Chase, MD
11/16/15,5,Customer Service Representative,"""Great place to work""",This company pays you very well and they are there to help you every step of the way. You will make enough money to work there along time,Geico is a great company but they have a horrible work life balance and the no longer hire from the inside up they hire interns who come in straight out of college and train to be seasoned employees supervisors,Former Employee ,"Coralville, IA",none they are great,Coralville, IA
11/14/15,4,Senior Actuarial Associate,"""GEICO Actuarial Department""","They value your study time.Work can be interesting if you're willing to find things to do (provided those things can improve the company in any way). if you're just trying to do what you're assigned to do, they can be quite mundane in the long run.",Lower pay than other actuarial firms. They don't appreciate your work enough. Only those who speak up often get recognized.,Current Employee ,"Chevy Chase, MD",Need to value the talent of the associates!! Human capital is so under-appreciated here.,Chevy Chase, MD
11/14/15,4,Claims Service Representative,"""A great career opportunity""","Salary, profit sharing, opportunity to relocate, paid tuition after six months, up to $1000 for employee referr","Time available to spend with family, dependability, micromanagement,",Current Employee ,"Virginia Beach, VA",Remember that most of you were on the phone at one time!,Virginia Beach, VA
11/8/15,4,TA2,"""Great""",Decent pay great place to work and grow. Great training if you want a job that is consistently busy this is a place for you,Lots of work. Constantly busy. This job can be draining. Expect no overtime pay for staying late which often times staying late is needed,Current Employee ,"Brandon, FL",,Brandon, FL
11/7/15,5,Financial Sales Representative/Office Manager,"""Great Place to Work""",Great work environment to be in with positive co-workers,I currently do not have any cons,Former Employee ,"Laurel, MD",,Laurel, MD
11/9/15,4,Customer Service Representative,"""Great workplace possible difficulty""",Everything is merited based. There are multiple opportunities for advancement. Love the training and the atmosphere of encouragement.,"Scheduling, people bid for shifts and some of the shifts available don't usually have 2 days off in a row.",Current Employee ,"Coralville, IA",Rotating weekends or 2 days off in a row.,Coralville, IA
11/23/15,3,Anonymous Employee,"""Grow a thick skin""",Benefits start right away. They will train you.,Mission creep. You start out doing one thing and end up performing many tasks on a single phone call. You will never do anything right.,Former Employee ,,"Different departments need to speak to each other. Claims has no idea what service is doing, service has no idea what underwriting is doing, it goes right around",,
11/7/15,4,Anonymous Employee,"""...""",Business always growing. Job security.,Keep hiring children out of college to be supervisors with no experience.,Former Employee ,"Woodbury, NY",Give credit to those on the front line.,Woodbury, NY
12/12/15,1,Adjuster,"""Auto Damage Not for Everyone.""","Job security because every one needs automobile insurance. Health benefits are average. Not much more I can say,","Working for over 12 years in the company. This was the company I wanted to retire from now I am looking for a way out any way I can. If you are organized you can complete your daily job in 8-9 hours unfortunately you only get paid 7.75 hours per day. We are always short staffed in every office in metro NY and they refuse to hire experience adjusters from other companies. They hire people fresh out of college that have no idea about automotive insurance industry or even have a clue how to change the oil in their car. If they can pass the interview assessment test they hire you send you to training and maybe you can start inspecting damaged cars in 8-10 months once you get your license. Experienced adjusters are leaving the company approx. 1-2 a month. Turn over rate is unbelievable, Other insurance companies are poaching Geico adjusters everyday. The management development program is a joke because they are promoting people within 2 years to supervisor who have no clue what they are doing as a adjuster. They cannot promote from with in because senior staff will does not want to apply for supervisor positions because of the longer hours and all the stress put on them. Supervisor are quitting for this reason also. Your job is to be customer service,rental rep. total loss rep and answer every single question for a customer. If you do not have the answer they now want you to find the answer and call customer back. All adjusters phone calls are recorded and graded and this will now be part of your core metrics for your raise. You are also graded on customer service surveys that are sent to customers which allows them to grade you fair poor good or excellent. If you are not graded excellent in a section you get a zero. You also have to deal with customer service reps that have no clue to what they are doing and are asking you to deal with problems that should be handled by the main office.( the good ones transfer out with 9 months to better positions and what is left are trainees and people who just cant do the job.) Your only glimmer of hope is that you gat a decent supervisor that actually cares about his crew and is willing to help you. There are a few out there but most offices have supervisors that will throw you under the bus just to cover their backs. I would recommend this only as a starting job into the industry and once you get your feet wet get out. Oh least I forget they give you a company car which is great but they have now enforced a new rule that if you get 3 camera tickets red light or speed camera you loose the company car and have to use your personal car to go to a drive in but wait there is more you also get demoted to a drive in adjuster pay scale which can be any where from $1500 to $15000 a year pay cut depending on you current pay scale.",Current Employee ,"New York, NY","Only a few minutes more per claim is getting old. We have been hearing this for the last 8 years and 3 minutes here 5 minutes there adds up fast. You are forcing people to do more than 7.75 hours of work per day. Inspecting 5 cars takes 5 hours from verifying vin to locking estimate. drive from car 1 to car 5 depending on area 10-15 minutes per ride so lets say 1 hour for that. Calling customer and explaining estimate 10 minutes per for a total 50 minutes. Issuing drafts 10 minutes. Calling shop to schedule appointments for next day 30 minutes calling customers to tell them you are seeing the car the next day and explaining process 30 minutes. Dealing with total losses rentals and general problem calls from customers and CSR 1 hour. Reviewing emails logging mandatory notes speaking to supervisor and any other misc operations 1 hour. Mandatory 3 day follow up calls 30-60 minutes. We are now up to 10.5 hours. Mandatory lunch which we are supposed to take .75 hours, So my day is 11.25 hours I get paid for 7.75 If I take premium time I am then looked at because supposedly all the other adjusters can do it in 7.75 so I don't put in for it but you want us to have a balanced work/personal life it cannot be done. I'm working 8am to 6 pm because I'm not taking a lunch. I'm watching fellow adjuster and supervisors bail out of the company as fast as the can. Moral sucks and the NY area is slowly withering to nothing.",New York, NY
11/18/15,2,Anonymous Employee,"""Good started job but not for those who want to advance""",family culture unless you are an agent,"No work life balance, poor pay, upper management driving culture into the ground with poor choices and poor hiring practices for senior positions",Former Employee ,,,,
11/6/15,4,Anonymous Employee,"""Great Boss""","Loved unannounced bonuses, cash benefits, great co workers, and just a laid back atmosphere",I worked for the local office so there is no higher placement in the company,Former Employee ,"Dallas, TX",,Dallas, TX
11/20/15,3,Field Supervisor,"""Very stressful but challenging job""","Good benefit, a lot of career advancement opportunity within the company. Great coworker supportive management team. Profit sharing is great","Workload is enormous, this job is not for everyone. Company is all about number. Customers are not easy to pleased. Base salary is not competitive",Current Employee ,"Pembroke Pines, FL",,Pembroke Pines, FL
11/6/15,5,Anonymous Employee,"""Great company, long interview process, but worth it""",Great team environment and rewarded well for performance. Give great training and make sure that you know exactly what you are doing before you get into the job.,"Pressure to perform, long hours at times. Many late evening hours, but compensated better when working these hours",Current Employee ,,You are all doing wonderfully,,
11/21/15,2,Anonymous Employee,"""Not bad but far from great""","It's not a terrible company. For this area, the pay is decent and they are willing to hire & train you with no background or experience in this industry.","They are completely driven by numbers, which seems to be their main, and sometimes only, concern. They expect you to do way more than I think is reasonable for the position. Plus things change so often that it's hard to get a grip on things.",Former Employee ,,Change less. They say to be flexible but should really advise you to just have low expectations for a streamlined process. The rewards and recognitions are nice but pushing the numbers so much is not.,,
11/6/15,4,Claims Service Representative,"""Telephone Claims Representative 1""",They care about their employees and always try to keep a fun and positive atmosphere.,The job requirements are extremely high and exacting standards.,Current Employee ,"Murrieta, CA",The job requirements need to be more fluid to account for fluctuations in business volume.,Murrieta, CA
11/20/15,2,Anonymous Employee,"""Claims Manger""",Great benefits package. Opportunity for growth.,Bad work/life balance. Heavy workload. Lots of micromanagement.,Current Employee ,"Virginia Beach, VA",Ease up on the micromanagement. Time to revisit current claims handling practice to accommodate growth of the company.,Virginia Beach, VA
11/16/15,2,Anonymous Employee,"""Remember the little guy""","Decent salary, benefits and profit sharing","Micromanaged, too focused on numbers. Company has gone from being employee focused to numbers focused. Unless you kiss up to upper management don't expect to be able to move up.",Former Employee ,"Buffalo, NY",Remember those who are the front line to the business and are the ones actually doing the rediculous goals that you attempt to set.,Buffalo, NY
11/4/15,5,Anonymous Employee,"""Great pay""",Great upwards mobility. Great people and atmosphere. Training is detailed and organized,No cons for right now,Former Employee ,"Miami, FL",,Miami, FL
11/14/15,3,Anonymous Employee,"""Customer Service""",Geico gives a lot back to the community and their benefits are better than any job I have had since,"Starting Salary is ok.. Not really competitive, and the job was tedious - with a lot of word tracts and sales.",Former Employee ,"Honolulu, HI",Make the job a little more fun. Insurance isn't really an exciting industry. Having some little extras could make it worth it.,Honolulu, HI
11/16/15,3,Anonymous Employee,"""Geico""",Benefits offered such as health is good,Schedule flexibility is terrible with family,Current Employee ,,,,
11/16/15,2,Anonymous Employee,"""Environment numbers driven""",Associates are generally friendly and helpful. You will meet friends for lifetime.,"Its all about the numbers. Environment reminds me of a factory, except we are on the phones presumably providing excellent customer service when associates suggestions are rarely considered.",Current Employee ,"Woodbury, NY",Associates would appreciate less food for thanks and possible time and a half for their hard work.,Woodbury, NY
12/1/15,1,Liability Claims Representative,"""Working Environment""",The one good thing that I can say about GEICO is that the company offers stability.,"If you choose to work here be prepared for a few things: management that micro-manages, the freedom to work independently, every action and word scrutinized and very strict attendance policies. Let me elaborate on each. There are supervisors for every ten or so employees. They monitor all of your calls and grade you on everything from your tone and inflection to each word that come out of your mouth. You are put on a points system and after you've reached so many points, you lose the call. Lack of empathy, sounding unpleasant or leaving the member on an open hold longer than the allowed 20 seconds than automatically causes you to lose a call. After awhile it becomes ridiculous the things that can cause you to lose points.There is not an ""official"" script for you to follow; however, the supervisors insist on advising you of exact wording to use, which tends to sound scripted. Also, one of the biggest issues a lot of reps had with the company was the fact that bathroom breaks were considered personal time. You were given 6 minutes per day and if you went over the allotted time then it was taken from your vacation time.All I'm saying is that if you choose to work here, be prepared. The pay is decent and the benefits are average.",Former Employee ,"Fredericksburg, VA",,Fredericksburg, VA
12/2/15,1,Customer Service Representative,"""Spare yourself""","Love my co-workers, decent health benefits","GEICO has a very clever marketing tactic when it comes to getting employees in the door. Offer months of paid training, paid vacation, sick leave and advertise as being a company that ""cares for their employees.""Do yourself a favor and truly consider a few things on this site before committing to employment to this company. Note that the average employee turn over is just over one year. This is a FORTUNE 500 company and people are coming and going like patrons at a fast food restaurant.When I first started at GEICO I was excited to be a part of such a huge company that was willing to pay for and provide my training so that I could become a licensed insurance agent. In the beginning the atmosphere was fun and high spirited but that changed quickly.In the service department you are graded on an unbelievably difficult scale that ranges from technical errors to perceived errors by a department that is responsible for ""grading"" your calls.Based on WHO is grading the call, you could be coached or fail. Believe me when I tell you that there is very little margin for error and agents are routinely threatened with termination of employment.They sell you at the door with all of the perks, one of which is paid vacation and sick leave but fail to inform you that if your are sick (even WITH a physicians note) that calling out regardless of advanced notice with result in a hit to your dependability (which can not drop below 97% or again you will be threatened with termination of employment. Also, if you know that you are currently sick, go to work ill and request to use paid vacation for the next day or two as to not adversely effect your dependability, you will be swiftly told that you can not ""Plan sick leave"" and that request will be declined.During your employment you will be drafted to work the paid holidays that they promise-you do get paid overtime but only if you work over 40 hours and because the standard work week is 37.75 it's never much of a bonus.Also, don't fall for the ""advancement opportunities"" ploy. You can only advance to supervisory/management position with completion of a bachelors program...and all that talk about GEICO footing the bill for your tuition? Only if you want to take a loan out through their employee credit union AND pay interest! Or you can pay it all upfront and they offer reimbursement (up to 5k-taxed).GEICO has the corporate game down to a science. Any way they can come up with to make sure they come out on top, they will do it.. They even make you sign an agreement upon hire that forfeits any accrued paid time off if you resign or are terminated, which for the longest time I thought was against the law but they managed to find a way around that as well!GEICO is hands down the most scheming, underhanded company I have ever worked for. It's a shame that they pay so much to educate and train employees just to have them leave after a year because the job and environment are such that no one wants to stay.",Former Employee ,,Stop perpetuating the practices that send good employees packing.. WAKE UP. Your employees are dropping like flies because you expect perfection and don't offer the kind of incentives that would drive people to attain it.,,
10/28/15,4,Customer Service Representative,"""Customer service""",The people you work withSalaryBenefitsBonusesProfit sharingVacation time,There isn't that much opportunity to get to know your coworkers and managers too much because you're on the phone constantly. But that's what the job is so can't really complain.,Former Employee ,"Woodbury, NY",Make the schedules a little more flexible.,Woodbury, NY
10/29/15,5,Anonymous Employee,"""good review""",Good work place with great pay,the work and balance of life,Former Employee ,,,,
11/10/15,3,Anonymous Employee,"""Pays well but very stressful.""",Very good starting wage for entry level work. Annual merit raises. Opportunity to work overtime for extra money. Extensive training for new hires. Very good benefits.,"Job expectations are very difficult to meet, your best is never good enough. Job performance is based on a small sample size in which your evaluations are either full credit or no credit; so results are highly volatile. People are frequently put on performance warnings and morale is generally low. Extremely stressful work environment with high turnover among personnel due to burnout.",Former Employee ,,Find a better way of evaluating performance and ease up on the micro-management.,,
10/18/15,5,Claims,"""Management doesn't care that everyone hates their job!""",Location is good with no traffic.,Twice as many claims as other companies and half the pay! Benefits used to be good. Now they suck.,Current Employee ,"Lakeland, FL",Care about your employees.,Lakeland, FL
11/11/15,3,Virginia,"""Meh""",They provide a lot of training and education.I met some of my favorite people there.The health benefits are excellent.,Work life balance is poor.Everyone dates everyone.Most of the top managers think they are too good and too busy to talk to you.,Former Employee ,"Fredericksburg, VA",,Fredericksburg, VA
11/10/15,2,Anonymous Employee,"""Pip Litigation Examiner""","Health insurance, pension if you were there before they stopped offering it. Profit sharing. Job security. They won't fire you because they're too understaffed.","To much work. Expectations to high. Pay to low. Work harder & faster, not smarter.",Current Employee ,"New York, NY",Care more about your employees and less about the dolllar signs. Learn to accommodate different types of schedules. Stop hiring kid's with no experience over tenured associates just because they have a degree.,New York, NY
10/27/15,4,Anonymous Employee,"""Sales""",great company to work for,job just wasn't for me,Former Employee ,,,,
10/27/15,4,Mortgage/Home Closing Agent,"""I have no complaints""",Generally it's a Full time job with overtime opportunities offered. There are plenty of growth opportunities and they promote from within. Also have great benefits offered.,You have to be flexible and open to change and things are constantly changing. I do not really have any cons with the position I am in.,Current Employee ,"Getzville, NY",,Getzville, NY
12/1/15,1,Anonymous Employee,"""Claims rep""","Great compensation, great benefits","Unrealistic goals, hastil work environment, unprofessional staff",Current Employee ,,Very difficult,,
10/25/15,5,Anonymous Employee,"""Telephone Claims Rep 1""",Base salary to start was almost 40k with up to a 3% raise at 6 month review. Excellent benefits.,Work load could be overwhelming at first and caused turnover.,Former Employee ,"Tucson, AZ",Try to keep a better eye on those overwhelmed to retain quality emoloyees in the beginning.,Tucson, AZ
10/25/15,4,Customer Service Representative,"""Optimistic Employee""","GEICO has the best benefits and pay as,any other gig in town. They have treated me well.I've been with the company since 2006.",It's not always easy to save up for vacation time. Turn over can be heavy at times.,Current Employee ,"Virginia Beach, VA",Remember or realize how stressful being on the phones 40 hours a week can be for an agent. Environment is crucial for an agent's sanity,Virginia Beach, VA
10/26/15,4,Anonymous Employee,"""tenured member of management keeps it short and sweet""","Tuition reimbursement, benefits, various positions and growth opportunities, ability to relocate, job stability, profit sharing. Various levels of management and skill sets so if you are one who networks and has strong people skills you can and will excel.","Education requirements over experience, high turnover for phone representatives (work hours/goals), demanding workloads with tight timelines, very competitive workforce lacking teamwork or vulnerability during crucial times",Current Employee ,"Virginia Beach, VA",Don't stop developing your management team. Seminars are nice but accountability is what makes success sustainable.,Virginia Beach, VA
11/2/15,3,Customer Service Representative,"""OVERALL REVIEW""","Nice team/coworkers. Most supervisors are great. Benefits, tuition reimbursement and profit share are nice.","More emphasis is put on meeting metrics (goals) than on employees themselves at time. Consistency between supervisors and managers would be good. The health insurance the past year stinks. The one two years ago was better. Equal promotions for all would be nice, not showing favoritism in certain areas.",Current Employee ,"Westfield, IN","Know that even when your agents are busting their butts for you, encouragement and support is a must. Remember, it's supposed to be a team effort. Don't ask someone to do things (even hitting metric/goals) that you would not be willing to (or are not able to) hit yourself.",Westfield, IN
11/29/15,1,Anonymous Employee,"""Seasonal Emergency Road service""","It was an ok job, the pay was good","Sitting in a cubicle, there's phone call after phone call so you're always busy. It gets really boring after a while, can't use cell phone, can't read a book, can't do puzzles.",Former Employee ,,Let us do puzzles from a book atleast.,,
11/7/15,3,Anonymous Employee,"""OK job""","I loved my team, couldn't work with a better group of people. Benfits were good. Good employee discounts especially the Enterprise discount.",Goals were unrealistic at times management waany realistic about what goals were sustainable. Benefits were good but expensive and they didn't offer Short Term disability.,Current Employee ,,Listen to your reps when it comes to goals and not just other management,,
11/4/15,3,Customer Service Representative,"""SWEATSHOP""","Pay is good for the area. Great benefits---profit share, healthcare, other incentives.",Stressful!!! Lack of compassion. It is not the typical office environment. Work weekends and holidays.,Current Employee ,"Macon, GA",,Macon, GA
11/6/15,2,Anonymous Employee,"""Management Development Program""",You get leadership experience and in depth training.,The agents end up making more than you.,Former Employee ,"Washington, DC",,Washington, DC
11/26/15,1,Auto Damage Adjuster,"""Auto Damage Adjuster""",Profit sharing is thru the roof. Way over what it should be. Means customers are underpaid. Bottom line all cooperate screw the facts. If you have a college degree in horticulture and don't know jack crap about cars. This is the company for you. They will make you supervisor or manager in a hot minute.,"Unless you have a degree leave this place Alone. Top dog 5 years then shouted at and put down for taking care of what the company ask for. I worked there almost ten years and was treated like a dog the last 5. I wouldn't even wish the stress I got on a dog. I can't believe the hours I worked. The pay compared to hours did not add up working at McDonalds would have been better when you do the math. Anyway I was used and abused as well as my former supervisor (which came away with a heck of a law suite.) Which he forced me thru GEICO to do what the said. I got nothing but an option to resignation or be fired. I want to thank Warren Buffet and Tony Nicely for my medical stress and disappointment personally. Thanks for my almost 10 service of excellence and being a good employee. I hope this hits there desk top. Of course they will reply with llanother a ""protect my asset comment . I remember Tony when said it's not what you know and how well your education is derogatory but its how you perform. Well you obviously had your blinders on because you missed one hell of an opportunity with me. I was your best ""honest"" adjuster you had. I was wronged by several times and hurt by many. No one wanted a good manager just a piecek ( of paper. I was more than that. You seen but decided paper is more important than facts. Run for president because anyone who supports what you do should really get a grip. We all know your rich and all you've said. It's time for you to be a real man and stand up for good people . Not those Bull crap overpaid pencil pushing numbers. I could do that and make anyonelook good. You talk like it's war. Well then man up. I lived it. You see you are losing this war. Because like Vietnam you are letting the troops take a loss knowing they Really are suffering. I lost my wife and 2 kids because of your arrogance. Hope you enjoy your over ecourage life. Because me and my family suffer from your lack of authority.indiana has suffered thru many now you have robots. Good for you. Isn't your pocket full enough yet?",Former Employee ,"Fort Wayne, IN",I've never seven a more miss managed cooperate place in,Fort Wayne, IN
11/3/15,3,Anonymous Employee,"""Be Flexible""",Good training for new employees,"All about numbers, Time limits",Former Employee ,,Stop changing hours,,
10/21/15,5,Subrogation Supervisor,"""Subrogation Supervisor""",Great Benefits and competitive salary,Too much office politics for promotions,Former Employee ,"Woodbury, NY",,Woodbury, NY
11/24/15,1,Litigation Specialist,"""Mr Unknown""",There are none other than job stability.,"There are not enough characters in the box to write the cons of working at Geico.Micromanaged , cut-throat , below industry standard salary, disrespect from management, childish behavior from supervisors, low moral behavior from top to bottom and an overall unhappy low morale place to work. If you have about another 3 hours to read I could go on and on, but never ever consider working here. Trust me. The first day I left was like a 4000 pound Elephant was lifted from my shoulders.",Former Employee ,"Woodbury, NY","Why bother, they keep the machine chugging along and there is absolutely no change in the environment or culture.",Woodbury, NY
10/27/15,3,Anonymous Employee,"""CSR""",Decent pay for the area,Poor treatment of your employees,Current Employee ,,Your company is only as good as your employees. Keep them happy.,,
11/3/15,2,Customer Service Representative,"""customer service representative II""",The benefits are excellent and can't complain about it. You get to meet a lot of people and all associated are pretty cool people to be around.,"The job is extremely stressful taking to near 100 people a day apologizing for their errors really can take a toll. the micromanagement is insane everything is monitored, your calls, your tone in every call, hold times, upselling percentage etc. If you take pride in your work do not work here, there will always be something you are doing wrong and you will be reminded constantly.",Current Employee ,"Virginia Beach, VA","Give the representatives a break, hire more agents under staffing makes the phones hell to where you can't even take a breath between calls.",Virginia Beach, VA
10/19/15,4,Claims,"""Liability Claims""","Some of the pros working at Geico was easy to move up in the department, good training , worked well with family life,","Some of the cons are the commute, parking lot is too small with the amount of employees that work at this location",Former Employee ,"Fort Myers, FL",My advice to management is to request to widen the parking lot. If you are not there by 9AM you have to find parking off site,Fort Myers, FL
11/23/15,1,Auto Damage Adjuster,"""Slave drivers""","Good benefits, generous vacation time, job flexibility especially in auto damage.","Been with the company for 18 years and I've seen things really go down hill from dropping annual events such as ""family day"" to no longer having holiday dinners with spouses. In recent years raises have all but disappeared as the rating system is not realistic and makes getting raises next to impossible. Now lets talk about the work load. There is no possible way you have enough time in the day to complete everything you are expected to. Try taking a vacation....you'll be sorry when you come back to a pile of claims and work load. Most departments are way understaffed and new hires often quit when they are thrown into the fire.",Current Employee ,"Atlanta, GA","Hire more employees, increase pay, use a new merit system that rewards hard work not punishes them.",Atlanta, GA
10/27/15,3,Management,"""Doesn't Care About Your Work/ Life Balance""",Good for first job and to get some experience.,"Less than competitive pay, Poorly Managed (at least in Houston), and management doesn't care about your work/life balance.",Current Employee ,"Houston, TX",,Houston, TX
10/17/15,5,Liability Claims Representative,"""Liability Claims Management Program""",Great benefitsProfit SharingGood peer to peer interactions,"Workload can be overwhelming, it is sometimes hard to maintain good numbersOvertime needed constantly so sometimes you can feel drained",Current Employee ,"San Diego, CA",Hiring more people can lighten the workload tremendously,San Diego, CA
11/1/15,2,Claims,"""Not the best place to work""","Good health benefits, competitive salary, training is very good","Horrible work-life balanceManagement does not listen to, act on, or seemingly care about any of the complaints of their associates; they have an attitude that conveys they feel they are better than their employees and are blameless to any problems in the organization.",Current Employee ,,Hear out your associates and make actual changes based on their reasonable requests.,,
10/17/15,4,Home Owner/Renters Ins Agent,"""Licensing Training""","Regular f/t pay while training for insurance license exam. Great training. I feel prepared for the test. Instructor was awesome. Met with actual trainer for the position and he's super motivating and had our new team all hype and excited about starting actual training. I've heard lots of complaints about schedule strictness and quotas but especially in phone sales positions, you know what you're getting into and it is what you make it.",None yet. Only 2 weeks in.,Current Employee ,"Fredericksburg, VA",,Fredericksburg, VA
10/29/15,3,Bisiness Analyst,"""Geico""","Benefits, Profit Sharing, competitive salary","Call center units are not employee friendly, people who do the work are not always the ones who get opportunities, cut throat people usually progress while more honest people just get stuck doing their work. A claims AVP supposedly pulled some shenanigans, but instead of being fired, he was allowed to resign and given a generous severance.",Current Employee ,"Amherst, NY","Live up to your business values for ALL employees. Not just non-exempt employees.It seems like they come down hard on supervisors if they don't move to progressive discipline on associates, but HR ends up denying progressive discipline when it is presented to them. Agents are allowed to character assassinate members of management by making unfounded allegations to HR which lead to investigations which wrongfully undermine the credibility of the (innocent) members of mgmt.",Amherst, NY
10/27/15,2,Claims Service Representative,"""Things have changed""","Location and co-workers can be fun. Yeah, that's about it. There's not much to say about the pros at GEICO these days.","The benefits are not what they used to be, management's focus is no longer on the employees, but on the numbers. Overloaded on work and underpaid compared to the industry. There's no relief in sight to the workload and understaffed issues.",Current Employee ,"Lakeland, FL","Be severants, care about the associate first, then in turn the customer will have a great experience. Pull some money for the advertising budget and invest that in salary dollars for the associates.",Lakeland, FL
10/30/15,2,Accident Tow Dispatcher,"""Rough on employees with disabilities""","Decent pay, however it would not seem to be enough to put up with some of the hoops you must jump through. The employee benefits are wonderful and you can meet a lot of interesting people.","While working for this company I had a spontaneous pneumothorax, which is a sudden lung collapse while on the job. If the illness was caused by the job, I am not one to say. However, after the incident, I became a disabled individual in which resulted a portion of my right lung being removed from my body. My doctors advised me that I needed to talk to my bosses to see if I can be put into another department. To wit, I was told that I could not be transferred by two separate supervisors. I was also told by my doctor that I would need to be out until he ran a few lung function tests and would not clear me to go back to work. This was originally covered and thought to be excused, and again was told by my doctors and a respiratory specialist that I would not only get sick with respiratory illnesses more often but also in greater length. A few months pass by and the changing of the seasons causes me to contracts bronchitis which takes me over two weeks to recover from and unable to see my normal doctors in an emergency situation, so I head to the emergency room for care. When leaving I ask the nurse when I would be able to return to work and receive a signed doctors note for the time missed from work. I was then told by a different supervisor that the note from an ER doctor is not good enough and that they need a form with their letterhead filled out by my general physician stating its ok for me to return to work, and tell me the absences will be counted against me until I get the correct form signed, but my doctor will not fill out the paperwork without an appointment and is out of the office for a week.",Current Employee ,"Byron, GA",,Byron, GA
11/18/15,1,Sales Representative,"""Sales rep""","Steady pay start at about 30,000.","Terrible job. Tacky, petty envitonment. Very transactional. You talk to some of the worst people all the while trying to sell auto insurance. Made descent money with bonuses but it was a miserable experience from start to finish.",Former Employee ,"Indianapolis, IN",Best of luck.,Indianapolis, IN
10/16/15,4,Anonymous Employee,"""Geico Review""",Good benefits. Starting pay is rather low but there's opportunities for raises every year. Also the company gives you a yearly bonus depending on their earnings so there's potential to earn more than the starting pay they offer you.,"The starting pay is low compared to other companies. The interview process is rather long and complicated. There's several tests and interviews you have to pass before being offer the position. The training for the position i applied is 12 weeks, 4 which are in Virginia.",Current Employee ,,I would make the hiring process shorter and less complicated. Starting pay should also be comparable to other companies in the field.,,
10/22/15,3,Anonymous Employee,"""Customer service representative""",The pay is ok starts at 15.50,Micro manage the hell out of employees,Former Employee ,"Dallas, TX",,Dallas, TX
10/12/15,4,Claims Service Representative,"""Great Job""",The people are great to work with and if you choose to work nights the bonus is amazing and makes the difference. After going through training you get the opportunity to choose a shift that works best for you.,With every call center the worst part is the constant changes to policies and grading of metrics.,Former Employee ,"Virginia Beach, VA",Need some work on making reasonable requests of employees. Some of the standards are near impossible let unless on a certain time shift and makes advancement difficult.,Virginia Beach, VA
10/14/15,4,Anonymous Employee,"""Auto Damage Supervisor""",Able to set my own schedule.,Direct Manager was extremely difficult,Current Employee ,"Lafayette, LA",,Lafayette, LA
10/14/15,4,Anonymous Employee,"""Insurance sales agent""",The company has a great opportunity to move up and advance your career. Pay in sales is very competitive and there are bonuses typically for the top 15%,It is a call center setting and a lot of micro managing. The job is not very flexible on time missed when it comes to being sick or having to miss work for a child or family member.,Current Employee ,,,,
